agent_id,current_location,goal_1,goal_2,time
,,183,157,
,,505,521,
,,898,908,
,,319,886,
,,782,270,
,,643,986,
,,600,627,
,,361,148,
,,33,666,
,,369,366,
,,950,172,
,,518,828,
,,218,393,
,,408,161,
,,204,891,
,,362,536,
,,42,647,
,,316,171,
,,581,187,
,,995,889,
,,443,867,
,,108,378,
,,579,668,
,,236,306,
,,339,140,
,,971,298,
,,724,331,
,,50,239,
,,834,961,
,,404,365,
,,162,593,
,,649,706,
,,695,444,
,,373,471,
,,391,672,
,,821,1019,
,,537,859,
,,954,947,
,,100,900,
,,329,188,
,,749,449,
,,615,539,
,,199,235,
,,358,850,
,,370,416,
,,705,802,
,,526,71,
,,1001,318,
,,4,617,
,,403,824,
,,497,1003,
,,653,520,
,,767,145,
,,91,117,
,,462,21,
,,858,873,
,,437,788,
,,538,529,
,,673,684,
,,143,1000,
,,152,215,
,,698,293,
,,213,601,
,,356,81,
,,737,309,
,,426,823,
,,46,190,
,,561,694,
,,31,217,
,,124,279,
,,738,359,
,,392,390,
,,469,629,
,,969,210,
,,10,351,
,,8,851,
,,196,878,
,,286,616,
,,66,860,
,,113,313,
,,863,288,
,,736,231,
,,376,592,
,,633,395,
,,651,958,
,,786,918,
,,249,515,
,,12,394,
,,464,468,
,,605,87,
,,250,327,
,,491,540,
,,726,440,
,,774,185,
,,380,96,
,,486,558,
,,906,499,
,,302,342,
,,504,570,
,,120,704,
,,572,928,
,,528,297,
,,301,638,
,,642,770,
,,839,606,
,,441,1002,
,,881,789,
,,273,785,
,,506,596,
,,664,544,
,,389,701,
,,959,283,
,,519,212,
,,111,586,
,,260,624,
,,611,825,
,,703,29,
,,195,427,
,,448,607,
,,813,72,
,,436,507,
,,207,240,
,,882,1007,
,,781,357,
,,639,604,
,,435,760,
,,720,730,
,,803,896,
,,341,588,
,,262,714,
,,379,559,
,,160,739,
,,225,976,
,,482,728,
,,670,84,
,,60,894,
,,228,495,
,,750,535,
,,163,513,
,,745,872,
,,880,621,
,,304,272,
,,905,432,
,,118,43,
,,747,966,
,,337,710,
,,690,457,
,,984,910,
,,48,180,
,,371,321,
,,459,998,
,,198,769,
,,178,746,
,,619,80,
,,230,229,
,,352,269,
,,164,763,
,,381,864,
,,582,447,
,,415,826,
,,156,566,
,,840,944,
,,983,37,
,,142,216,
,,252,830,
,,527,5,
,,879,88,
,,989,628,
,,147,848,
,,485,280,
,,618,811,
,,555,55,
,,741,822,
,,93,723,
,,565,257,
,,417,122,
,,274,901,
,,135,89,
,,59,911,
,,208,994,
,,102,3,
,,956,689,
,,603,267,
,,112,243,
,,127,837,
,,51,516,
,,1010,681,
,,57,322,
,,484,833,
,,493,132,
,,510,827,
,,1014,659,
,,282,854,
,,388,350,
,,220,291,
,,75,861,
,,65,452,
,,599,299,
,,992,176,
,,534,933,
,,1015,246,
,,116,355,
,,571,276,
,,418,323,
,,137,265,
,,139,890,
,,662,494,
,,697,939,
,,778,975,
,,550,205,
,,733,423,
,,590,69,
,,842,764,
,,814,791,
,,560,461,
,,779,792,
,,17,345,
,,203,414,
,,965,6,
,,904,255,
,,970,129,
,,680,23,
,,151,131,
,,876,82,
,,312,95,
,,222,326,
,,278,413,
,,852,776,
,,360,36,
,,885,766,
,,719,502,
,,759,247,
,,401,41,
,,328,598,
,,943,173,
,,354,344,
,,816,762,
,,729,56,
,,756,640,
,,138,295,
,,556,856,
,,315,189,
,,119,829,
,,679,635,
,,685,696,
,,727,843,
,,877,27,
,,121,857,
,,912,660,
,,715,382,
,,26,271,
,,223,266,
,,106,982,
,,716,997,
,,748,562,
,,661,289,
,,801,405,
,,16,364,
,,587,937,
,,281,466,
,,412,174,
,,595,52,
,,1020,165,
,,626,541,
,,24,154,
,,227,58,
,,807,348,
,,717,576,
,,314,434,
,,557,1017,
,,564,307,
,,862,589,
,,1016,377,
,,489,62,
,,481,68,
,,757,632,
,,849,711,
,,374,85,
,,964,474,
,,219,972,
,,946,473,
,,835,870,
,,483,934,
,,875,742,
,,987,275,
,,450,990,
,,865,456,
,,583,454,
,,1008,153,
,,772,893,
,,991,927,
,,897,284,
,,498,765,
,,945,325,
,,784,755,
,,620,888,
,,1005,949,
,,166,935,
,,919,431,
,,105,398,
,,107,292,
,,960,1022,
,,245,19,
,,251,636,
,,248,101,
,,771,985,
,,957,334,
,,406,258,
,,308,637,
,,869,115,
,,1009,718,
,,285,810,
,,687,130,
,,630,968,
,,170,702,
,,648,831,
,,409,967,
,,201,34,
,,542,383,
,,569,568,
,,439,874,
,,574,169,
,,76,545,
,,487,744,
,,209,798,
,,149,650,
,,920,674,
,,996,465,
,,490,977,
,,179,386,
,,677,914,
,,652,70,
,,795,99,
,,296,470,
,,177,79,
,,940,999,
,,806,895,
,,28,438,
,,523,921,
,,1011,39,
,,597,925,
,,407,35,
,,508,805,
,,688,917,
,,993,675,
,,9,546,
,,931,907,
,,446,938,
,,77,780,
,,134,0,
,,531,804,
,,953,343,
,,951,902,
,,324,979,
,,244,915,
,,167,11,
,,54,585,
,,478,563,
,,1012,191,
,,221,610,
,,686,294,
,,800,623,
,,363,963,
,,73,631,
,,671,512,
,,290,442,
,,15,458,
,,797,110,
,,740,238,
,,18,424,
,,721,488,
,,577,913,
,,90,492,
,,700,1004,
,,421,214,
,,330,832,
,,614,104,
,,916,226,
,,819,38,
,,641,472,
,,530,847,
,,654,613,
,,751,844,
,,808,678,
,,866,549,
,,645,820,
,,500,13,
,,396,713,
,,663,809,
,,768,263,
,,609,656,
,,433,384,
,,44,594,
,,335,602,
,,722,543,
,,368,25,
,,158,175,
,,846,114,
,,53,125,
,,567,923,
,,515,110,
,,830,0,
,,442,54,
,,401,921,
,,593,26,
,,23,621,
,,129,89,
,,582,534,
,,263,102,
,,1020,53,
,,41,1017,
,,771,687,
,,908,540,
,,175,106,
,,666,705,
,,675,1008,
,,982,570,
,,729,626,
,,977,713,
,,530,185,
,,183,380,
,,384,272,
,,215,520,
,,811,1007,
,,466,414,
,,7,271,
,,135,747,
,,9,984,
,,894,500,
,,8,55,
,,641,756,
,,759,651,
,,905,280,
,,995,416,
,,68,15,
,,945,671,
,,356,968,
,,875,328,
,,190,996,
,,595,58,
,,36,170,
,,220,37,
,,859,885,
,,180,901,
,,832,342,
,,1004,652,
,,258,255,
,,991,603,
,,99,703,
,,191,198,
,,1011,620,
,,351,309,
,,91,997,
,,461,435,
,,269,688,
,,990,798,
,,17,52,
,,363,848,
,,1000,726,
,,910,481,
,,169,721,
,,424,720,
,,222,598,
,,133,642,
,,138,199,
,,928,93,
,,285,572,
,,768,538,
,,842,427,
,,165,938,
,,789,396,
,,821,364,
,,776,289,
,,251,321,
,,610,800,
,,284,63,
,,519,588,
,,911,822,
,,446,744,
,,163,479,
,,86,306,
,,4,577,
,,807,329,
,,755,576,
,,115,278,
,,631,246,
,,348,283,
,,695,986,
,,382,1022,
,,998,75,
,,69,544,
,,684,678,
,,71,166,
,,549,316,
,,43,21,
,,632,462,
,,907,537,
,,618,513,
,,334,360,
,,35,72,
,,291,210,
,,178,873,
,,408,487,
,,379,762,
,,373,877,
,,536,816,
,,489,66,
,,1001,440,
,,763,6,
,,471,76,
,,963,543,
,,73,352,
,,979,767,
,,502,826,
,,661,432,
,,916,780,
,,882,993,
,,217,324,
,,564,643,
,,5,847,
,,331,482,
,,950,245,
,,354,723,
,,134,609,
,,505,716,
,,851,361,
,,456,774,
,,167,223,
,,856,206,
,,109,270,
,,679,681,
,,781,377,
,,250,619,
,,745,896,
,,739,315,
,,560,350,
,,784,355,
,,38,672,
,,117,604,
,,599,940,
,,428,365,
,,423,164,
,,964,888,
,,140,359,
,,13,207,
,,130,131,
,,312,863,
,,225,29,
,,276,953,
,,556,512,
,,330,457,
,,497,542,
,,730,369,
,,923,229,
,,307,654,
,,368,927,
,,748,208,
,,521,124,
,,797,371,
,,866,153,
,,981,685,
,,846,107,
,,958,213,
,,992,865,
,,25,358,
,,740,673,
,,677,614,
,,508,389,
,,65,227,
,,1010,398,
,,969,47,
,,95,154,
,,539,568,
,,449,1023,
,,85,176,
,,824,801,
,,187,458,
,,119,444,
,,426,418,
,,19,452,
,,132,617,
,,326,121,
,,571,395,
,,785,518,
,,633,403,
,,715,314,
,,394,906,
,,302,319,
,,989,323,
,,44,891,
,,804,972,
,,137,663,
,,81,235,
,,478,727,
,,491,313,
,,327,914,
,,579,606,
,,700,696,
,,949,149,
,,529,24,
,,664,870,
,,469,343,
,,719,484,
,,172,266,
,,971,600,
,,56,965,
,,624,279,
,,957,468,
,,586,46,
,,84,499,
,,864,860,
,,835,492,
,,557,267,
,,357,782,
,,34,746,
,,611,252,
,,895,171,
,,1005,108,
,,810,659,
,,627,850,
,,857,813,
,,561,752,
,,310,113,
,,806,506,
,,82,602,
,,12,706,
,,897,656,
,,288,710,
,,833,413,
,,1,447,
,,795,386,
,,987,861,
,,282,751,
,,581,694,
,,142,722,
,,970,139,
,,741,143,
,,583,443,
,,3,849,
,,433,275,
,,647,639,
,,840,485,
,,558,925,
,,961,887,
,,834,101,
,,238,231,
,,273,507,
,,736,152,
,,345,649,
,,490,514,
,,839,477,
,,879,880,
,,637,209,
,,425,409,
,,701,898,
,,939,188,
,,488,786,
,,662,472,
,,760,680,
,,127,114,
,,337,322,
,,947,698,
,,156,470,
,,441,605,
,,623,951,
,,676,592,
,,717,814,
,,421,335,
,,174,28,
,,738,118,
,,391,1015,
,,983,635,
,,407,808,
,,900,87,
,,728,867,
,,645,516,
,,112,10,
,,954,966,
,,1019,297,
,,336,376,
,,318,791,
,,96,724,
,,1014,697,
,,292,510,
,,708,18,
,,221,381,
,,750,148,
,,628,788,
,,805,668,
,,827,249,
,,179,636,
,,559,912,
,,959,244,
,,177,718,
,,202,545,
,,546,1021,
,,615,27,
,,967,994,
,,733,160,
,,569,214,
,,388,820,
,,874,915,
,,944,298,
,,60,660,
,,702,913,
,,216,550,
,,585,218,
,,105,274,
,,437,51,
,,308,122,
,,48,412,
,,204,917,
,,201,226,
,,31,918,
,,844,243,
,,390,59,
,,749,803,
,,240,374,
,,943,837,
,,293,779,
,,338,574,
,,831,195,
,,526,383,
,,173,975,
,,1009,434,
,,212,168,
,,802,589,
,,935,904,
,,689,486,
,,737,931,
,,528,299,
,,653,934,
,,366,296,
,,766,344,
,,769,562,
,,946,527,
,,203,70,
,,294,162,
,,670,772,
,,711,714,
,,483,893,
,,770,120,
,,590,495,
,,825,100,
,,370,554,
,,341,862,
,,565,792,
,,869,872,
,,607,587,
,,248,205,
,,393,281,
,,976,1012,
,,304,417,
,,265,196,
,,596,778,
,,42,674,
,,286,454,
,,597,764,
,,404,189,
,,889,397,
,,362,260,
,,1003,406,
,,630,493,
,,563,33,
,,937,1002,
,,765,420,
,,77,960,
,,464,419,
,,474,494,
,,638,378,
,,116,62,
,,956,50,
,,902,566,
,,555,920,
,,999,829,
,,819,535,
,,80,104,
,,239,219,
,,465,151,
,,876,111,
,,325,247,
,,125,473,
,,640,450,
,,90,498,
,,145,616,
,,933,523,
,,881,415,
,,290,439,
,,228,236,
,,79,629,
,,890,504,
,,531,648,
,,613,757,
,,11,650,
,,161,704,
,,147,57,
,,262,436,
,,88,854,
,,392,686,
,,448,339,
,,281,71,
,,786,710,
,,47,431,
,,302,371,
,,157,588,
,,243,132,
,,15,403,
,,12,292,
,,443,437,
,,1017,337,
,,979,244,
,,203,4,
,,918,927,
,,679,745,
,,741,678,
,,613,133,
,,1003,953,
,,546,939,
,,188,687,
,,498,638,
,,956,800,
,,780,642,
,,247,535,
,,145,938,
,,774,418,
,,689,330,
,,585,995,
,,549,742,
,,142,321,
,,481,55,
,,442,671,
,,465,65,
,,960,76,
,,586,70,
,,95,810,
,,598,104,
,,262,910,
,,87,472,
,,464,308,
,,923,417,
,,954,685,
,,434,425,
,,60,152,
,,502,323,
,,500,504,
,,649,886,
,,19,470,
,,865,34,
,,615,407,
,,135,397,
,,189,170,
,,730,13,
,,1000,647,
,,420,35,
,,134,872,
,,982,432,
,,204,198,
,,846,290,
,,864,798,
,,446,168,
,,617,415,
,,523,529,
,,89,904,
,,784,987,
,,640,164,
,,1005,278,
,,1002,25,
,,721,946,
,,964,348,
,,508,473,
,,949,366,
,,313,11,
,,851,266,
,,519,633,
,,778,18,
,,492,357,
,,750,111,
,,1009,599,
,,382,600,
,,806,607,
,,176,494,
,,641,814,
,,702,342,
,,440,882,
,,571,577,
,,267,593,
,,185,804,
,,563,59,
,,901,720,
,,785,163,
,,383,645,
,,813,165,
,,90,309,
,,662,115,
,,713,976,
,,283,257,
,,609,958,
,,275,207,
,,180,120,
,,803,506,
,,611,559,
,,161,856,
,,624,874,
,,521,505,
,,3,394,
,,782,414,
,,569,125,
,,746,816,
,,324,933,
,,331,749,
,,668,791,
,,99,304,
,,718,373,
,,381,852,
,,928,477,
,,187,216,
,,149,821,
,,9,737,
,,318,210,
,,595,740,
,,528,583,
,,354,386,
,,280,419,
,,660,579,
,,497,356,
,,834,106,
,,113,881,
,,538,561,
,,488,462,
,,230,299,
,,652,947,
,,471,314,
,,121,676,
,,248,858,
,,377,637,
,,900,8,
,,24,319,
,,427,722,
,,101,628,
,,950,861,
,,77,41,
,,540,91,
,,991,289,
,,830,392,
,,405,925,
,,889,779,
,,228,984,
,,567,829,
,,823,352,
,,772,334,
,,530,880,
,,117,686,
,,495,789,
,,848,590,
,,510,714,
,,972,100,
,,398,158,
,,122,961,
,,650,270,
,,619,42,
,,630,166,
,,673,859,
,,973,896,
,,711,760,
,,863,439,
,,355,541,
,,108,119,
,,733,826,
,,428,986,
,,977,842,
,,970,837,
,,390,409,
,,912,968,
,,797,728,
,,601,293,
,,820,917,
,,75,58,
,,28,424,
,,365,1021,
,,965,86,
,,162,179,
,,52,338,
,,499,631,
,,312,574,
,,388,384,
,,118,596,
,,208,765,
,,898,771,
,,911,748,
,,512,570,
,,401,701,
,,564,894,
,,84,610,
,,250,839,
,,527,906,
,,1010,1,
,,566,209,
,,284,539,
,,478,873,
,,755,456,
,,666,632,
,,802,214,
,,350,444,
,,131,618,
,,706,576,
,,656,664,
,,171,50,
,,238,416,
,,808,776,
,,364,139,
,,594,724,
,,809,1020,
,,486,483,
,,191,174,
